# Strain, f_max, p, Sigma, DeltaPhi, num_broken
1.166972401039461163e-02,1.124296178750224667e-01,5.382153222363568190e-01,6.658236467531309017e+02,2.190411251412443250e-01,0.000000000000000000e+00
1.167472401039460969e-02,1.137796613542232244e-01,5.400967409662934537e-01,6.655308873084427432e+02,2.191726533372053420e-01,0.000000000000000000e+00
1.167972401039460949e-02,1.151829662014835637e-01,5.420016313842570543e-01,6.652328038433204256e+02,2.193044753852168294e-01,0.000000000000000000e+00
1.168472401039460928e-02,1.166823598031718201e-01,5.439811415332407307e-01,6.649135904544780260e+02,2.194373727823883402e-01,0.000000000000000000e+00
1.168972401039460908e-02,1.183232837653309388e-01,5.460828739971982371e-01,6.645496505947543255e+02,2.195724704909387259e-01,0.000000000000000000e+00
1.169472401039460888e-02,1.200305868957056571e-01,5.482048000927434162e-01,6.641748907536581328e+02,2.197081068523554781e-01,0.000000000000000000e+00
1.169972401039460694e-02,1.217997072530805219e-01,5.503386612712118930e-01,6.637898658555448037e+02,2.198442455728127631e-01,0.000000000000000000e+00
1.170472401039460673e-02,1.236276044666253099e-01,5.524784423799479205e-01,6.633950609259699149e+02,2.199808553674224287e-01,0.000000000000000000e+00
1.170972401039460653e-02,1.255119718494964731e-01,5.546192425640522616e-01,6.629908950506730889e+02,2.201179169059711838e-01,0.000000000000000000e+00
1.171472401039460633e-02,1.274503127958867832e-01,5.567561754247933870e-01,6.625777403414044784e+02,2.202554073598769202e-01,0.000000000000000000e+00
1.171972401039460612e-02,1.294388874138510670e-01,5.588834739866996859e-01,6.621560081368455712e+02,2.203933019728153975e-01,0.000000000000000000e+00
1.172472401039460418e-02,1.314874093449182046e-01,5.610090868540386078e-01,6.617183864657376944e+02,2.205319317545495483e-01,0.000000000000000000e+00
1.172972401039460398e-02,1.337111883110723987e-01,5.632409758303914549e-01,6.611888687710601289e+02,2.206747117828768701e-01,0.000000000000000000e+00
1.173472401039460378e-02,1.359914703228111976e-01,5.654548110204579148e-01,6.606460901129818239e+02,2.208180613571062989e-01,0.000000000000000000e+00
1.173972401039460357e-02,1.383220357984485394e-01,5.676433799353107768e-01,6.600915023535768569e+02,2.209619113283628478e-01,0.000000000000000000e+00
1.174472401039460337e-02,1.406964200555569644e-01,5.697998072000325376e-01,6.595264115040256456e+02,2.211062094683581281e-01,0.000000000000000000e+00
1.174972401039460143e-02,1.431095632288550412e-01,5.719189322025287625e-01,6.589521051264778180e+02,2.212509123807460121e-01,0.000000000000000000e+00
1.175472401039460123e-02,1.455575995038248249e-01,5.739969576378418648e-01,6.583696527004603922e+02,2.213959728833752860e-01,0.000000000000000000e+00
1.175972401039460102e-02,1.480375877319783096e-01,5.760310986454583171e-01,6.577799561339645606e+02,2.215413543079388647e-01,0.000000000000000000e+00
1.176472401039460082e-02,1.505476163381972154e-01,5.780195185899855703e-01,6.571837493602857876e+02,2.216870259652644892e-01,0.000000000000000000e+00
1.176972401039460062e-02,1.531030762566647496e-01,5.799730976511737746e-01,6.565694320972328342e+02,2.218335124420081073e-01,0.000000000000000000e+00
1.177472401039459868e-02,1.558479285537265613e-01,5.819911299362382495e-01,6.558326597983078727e+02,2.219854633760112161e-01,0.000000000000000000e+00
1.177972401039459847e-02,1.586292604267150186e-01,5.839567241709900935e-01,6.550854976220974777e+02,2.221378231112997870e-01,0.000000000000000000e+00
1.178472401039459827e-02,1.614399787328452962e-01,5.858648637662214886e-01,6.543302910109840695e+02,2.222904912327112459e-01,0.000000000000000000e+00
1.178972401039459807e-02,1.642755432541782856e-01,5.877125767957894764e-01,6.535688824149731317e+02,2.224433934933350565e-01,0.000000000000000000e+00
1.179472401039459786e-02,1.671328548150731452e-01,5.894980377008625094e-01,6.528025964536745960e+02,2.225964727910345886e-01,0.000000000000000000e+00
1.179972401039459592e-02,1.700100603565526947e-01,5.912203019928717884e-01,6.520324392405576646e+02,2.227496848171278132e-01,0.000000000000000000e+00
1.180472401039459572e-02,1.729061883130879329e-01,5.928789748484005750e-01,6.512591606891814990e+02,2.229029987428401138e-01,0.000000000000000000e+00
1.180972401039459552e-02,1.758208623883992794e-01,5.944739730791727128e-01,6.504833321177414973e+02,2.230563921341388589e-01,0.000000000000000000e+00
1.181472401039459531e-02,1.787541316995435170e-01,5.960053813455317151e-01,6.497053976506824711e+02,2.232098437293956739e-01,0.000000000000000000e+00
1.181972401039459511e-02,1.817063717209406737e-01,5.974733646263534759e-01,6.489257257175017912e+02,2.233633368354507043e-01,0.000000000000000000e+00
1.182472401039459317e-02,1.846785494541615669e-01,5.988782527890972318e-01,6.481446069686480769e+02,2.235168640978933974e-01,0.000000000000000000e+00
1.182972401039459297e-02,1.878623037971660914e-01,6.003003016901112820e-01,6.472108433310254441e+02,2.236770437135832401e-01,0.000000000000000000e+00
1.183472401039459276e-02,1.910806645215042676e-01,6.016550569728815745e-01,6.462672827073618009e+02,2.238376576539737872e-01,0.000000000000000000e+00
1.183972401039459256e-02,1.943248464850687585e-01,6.029381595742607791e-01,6.453215114314135690e+02,2.239983838772275082e-01,0.000000000000000000e+00
1.184472401039459236e-02,1.975945272469510072e-01,6.041488857691285075e-01,6.443749899921549513e+02,2.241591527600958478e-01,0.000000000000000000e+00
1.184972401039459042e-02,2.008910365260278830e-01,6.052869590417189194e-01,6.434286764226350215e+02,2.243199314686450674e-01,0.000000000000000000e+00
1.185472401039459021e-02,2.042167972125746578e-01,6.063522200693991504e-01,6.424831846587719610e+02,2.244807008525885883e-01,0.000000000000000000e+00
1.185972401039459001e-02,2.075750426533395088e-01,6.073444348902760082e-01,6.415389146411981756e+02,2.246414487768861323e-01,0.000000000000000000e+00
1.186472401039458981e-02,2.109697473392135036e-01,6.082631859484786130e-01,6.405961263301525150e+02,2.248021531023961794e-01,0.000000000000000000e+00
1.186972401039458960e-02,2.144056516905705478e-01,6.091077885179249085e-01,6.396549916526347488e+02,2.249627947660061134e-01,0.000000000000000000e+00
1.187472401039458766e-02,2.178883547171694690e-01,6.098772100012815889e-01,6.387156175385337065e+02,2.251233724265368497e-01,0.000000000000000000e+00
1.187972401039458746e-02,2.214245469755433127e-01,6.105699935261619249e-01,6.377780461651070709e+02,2.252838897722840295e-01,0.000000000000000000e+00
1.188472401039458726e-02,2.250219605112103727e-01,6.111840972071604927e-01,6.368422597110802599e+02,2.254443525750703115e-01,0.000000000000000000e+00
1.188972401039458705e-02,2.286896942956326562e-01,6.117167731035706435e-01,6.359081850652302137e+02,2.256047686195817858e-01,0.000000000000000000e+00
1.189472401039458685e-02,2.325043333165926762e-01,6.121705147509777234e-01,6.349283042984919803e+02,2.257671916342490759e-01,0.000000000000000000e+00
1.189972401039458491e-02,2.365967060232707919e-01,6.125426962413001997e-01,6.338241177143266896e+02,2.259350153191019561e-01,0.000000000000000000e+00
1.190472401039458471e-02,2.408114611309287723e-01,6.128051241796055315e-01,6.327206834195108058e+02,2.261027958108805525e-01,0.000000000000000000e+00
1.190972401039458450e-02,2.451665690822673882e-01,6.129476791777543898e-01,6.316188680205672199e+02,2.262704264067172955e-01,0.000000000000000000e+00
1.191472401039458430e-02,2.028753638221520994e-01,6.130627619713875376e-01,6.305147800993494229e+02,2.264380346471842331e-01,1.000000000000000000e+00
1.191972401039458410e-02,2.050539259901203448e-01,6.130627619713873155e-01,6.294797989572659844e+02,2.266026215933943655e-01,1.000000000000000000e+00
1.192472401039458216e-02,2.072294844890603116e-01,6.130627619713874266e-01,6.284472646583860751e+02,2.267669956464946901e-01,1.000000000000000000e+00
1.192972401039458195e-02,2.094024657902097686e-01,6.130627619713872045e-01,6.274174191322346132e+02,2.269311366201223201e-01,1.000000000000000000e+00
1.193472401039458175e-02,2.115734110767598375e-01,6.130627619713875376e-01,6.263904520161466962e+02,2.270950390277302611e-01,1.000000000000000000e+00
1.193972401039458155e-02,2.137428883859720241e-01,6.130627619713874266e-01,6.253665163762150314e+02,2.272586854422107283e-01,1.000000000000000000e+00
1.194472401039458134e-02,2.159116601169902006e-01,6.130627619713872045e-01,6.243457324989421977e+02,2.274220721628185948e-01,1.000000000000000000e+00
1.194972401039457940e-02,2.180805690995989143e-01,6.130627619713874266e-01,6.233281890762659714e+02,2.275851959878691932e-01,1.000000000000000000e+00
1.195472401039457920e-02,2.202505615648299719e-01,6.130627619713872045e-01,6.223139701348849258e+02,2.277480559564504237e-01,1.000000000000000000e+00
1.195972401039457900e-02,2.224226967160548851e-01,6.130627619713876486e-01,6.213031531775573058e+02,2.279106411430784074e-01,1.000000000000000000e+00
1.196472401039457879e-02,2.245982281240953560e-01,6.130627619713873155e-01,6.202957916378913978e+02,2.280729477139635808e-01,1.000000000000000000e+00
1.196972401039457859e-02,2.268130605171630454e-01,6.130627619713875376e-01,6.192445683890251757e+02,2.282369597327752464e-01,1.000000000000000000e+00
1.197472401039457665e-02,2.291303739919663407e-01,6.130627619713874266e-01,6.180673873335174449e+02,2.284061339028866378e-01,1.000000000000000000e+00
