# Strain, f_max, p, Sigma, DeltaPhi, num_broken
1.530313826851332701e-02,4.340160876987917554e-02,7.899400139379264552e-01,6.466196176816598609e+02,3.312002302385095853e-01,0.000000000000000000e+00
1.531927021775705486e-02,4.403886899689009315e-02,7.914987186925291907e-01,6.460156062306418789e+02,3.316517226325005896e-01,0.000000000000000000e+00
1.534125386660732671e-02,4.493292672941542887e-02,7.936349012457162289e-01,6.451910049198944535e+02,3.322673298975972744e-01,0.000000000000000000e+00
1.536323751545759855e-02,4.585349579081599708e-02,7.957831655772037438e-01,6.443648477363192342e+02,3.328832887252632378e-01,0.000000000000000000e+00
1.538522116430786867e-02,4.680162256855483621e-02,7.979438925559183549e-01,6.435370727651107927e+02,3.334995939060316772e-01,0.000000000000000000e+00
1.540720481315814051e-02,4.777829319479028058e-02,8.001173712155300599e-01,6.427076070459465882e+02,3.341162579970016755e-01,0.000000000000000000e+00
1.542918846200841063e-02,4.878470858779209579e-02,8.023040846509307267e-01,6.418763867326707668e+02,3.347333106390392721e-01,0.000000000000000000e+00
1.545117211085868247e-02,4.982190034616916507e-02,8.045043738369994646e-01,6.410433287153887250e+02,3.353507555837592080e-01,0.000000000000000000e+00
1.547315575970895432e-02,5.169085326512276590e-02,8.069438828170552025e-01,6.401799279300656735e+02,3.359703917145273611e-01,0.000000000000000000e+00
1.548315575970895218e-02,5.279504701548994039e-02,8.081081211484043569e-01,6.397807971038349706e+02,3.362527202924255887e-01,0.000000000000000000e+00
1.549315575970895177e-02,5.451097586081984914e-02,8.094817644949484636e-01,6.393305571059773911e+02,3.365382365177996271e-01,0.000000000000000000e+00
1.550315575970894963e-02,5.736937937675978122e-02,8.112171745827213565e-01,6.388144405368334446e+02,3.368277155049401728e-01,0.000000000000000000e+00
1.551315575970894922e-02,6.408970102721893436e-02,8.137986933880319018e-01,6.381419348548851076e+02,3.371261905463790454e-01,0.000000000000000000e+00
